,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
seg_size,8950.0,1660.0,2962.0,4328.0,1502.0,2053.0,2765.0,2630.0,1910.0,1414.0,1157.0,2766.0,1703.0,1679.0,1907.0,1035.0,1252.0,1704.0,1373.0,1047.0,1834.0,477.0,1019.0,1659.0,1320.0,1594.0,1276.0,1006.0,949.0,977.0,1496.0,1559.0,464.0,1223.0,1011.0,1110.0,1583.0,1314.0,933.0,1252.0,871.0,410.0,466.0
Seg_pct,1.0,0.18547486033519553,0.3309497206703911,0.4835754189944134,0.16782122905027932,0.2293854748603352,0.3089385474860335,0.293854748603352,0.21340782122905028,0.15798882681564247,0.12927374301675978,0.30905027932960893,0.19027932960893854,0.1875977653631285,0.21307262569832403,0.11564245810055866,0.13988826815642458,0.19039106145251397,0.15340782122905028,0.11698324022346368,0.20491620111731843,0.05329608938547486,0.11385474860335196,0.18536312849162012,0.14748603351955308,0.17810055865921787,0.14256983240223464,0.1124022346368715,0.10603351955307262,0.10916201117318436,0.16715083798882682,0.1741899441340782,0.05184357541899441,0.13664804469273742,0.1129608938547486,0.12402234636871508,0.17687150837988827,0.14681564245810055,0.10424581005586592,0.13988826815642458,0.09731843575418994,0.04581005586592179,0.052067039106145255
avg_monthly_balance,1452.3995929909956,2044.8413353806657,2458.7887696030493,536.4157590049675,2083.8655943986687,848.4354989035979,531.5894747384401,2531.303139764995,935.5455705130573,1906.9781040982286,4126.1504069336015,492.19559818777566,1397.6795261216678,1407.589351068434,114.70086325576851,4167.840587900404,1855.656625694487,874.2750119538975,1667.9807475463197,3985.722424301828,110.31829677448229,4396.629086350932,825.5761033137389,866.0991379070172,1605.6083875516285,1335.561830564115,1222.6571431568525,811.2721303804171,4142.360804207394,98.60519420046094,1540.3529255556825,131.78284976616453,4345.6095371214315,1691.8300383246108,797.1317437484662,1791.960308855719,137.0544766964311,1584.0899313444445,100.56701506243333,1236.0283813012338,4282.460293616492,1305.6640205487797,4289.414361600096
balance_frequency,0.8832520119553052,0.9764185457831315,0.9325265638082373,0.8137955265711647,0.9792766824234344,0.7981815976619596,0.8445643985533442,0.9354922235741439,0.8301931968586395,0.9791392291371983,0.9758762878133095,0.8407457096890807,0.8692555096887854,0.8690207379392504,0.768307139486104,0.97286088405797,0.9777742204472831,0.816415514084508,0.9895131813546969,0.9698331862464173,0.7623977486368593,0.9890392473794546,0.9688847163886148,0.8128576690777581,0.9890100484848477,0.8647197653701392,0.9561037507836966,0.9691151988071557,0.9678440800842985,0.4254299170931381,0.9266816330213894,0.8476423553559945,0.9893199310344823,0.9887355412919044,0.9691218229475754,0.9918368441441437,0.8500214504106098,0.9423481598173504,0.4281995594855265,0.9630834217252374,0.9758470528128581,0.7908710853658537,0.989365768240343
purchases,823.8630218994441,2724.435130120486,170.44521607022295,542.0871072088703,2808.235884487356,572.0852593765221,577.351392405062,146.2874942965779,606.9714594240834,2855.3870466761023,501.23748012100265,572.3021077368029,8.116194950088081,5.96117927337701,523.0027897220775,473.99488405797115,3004.325994408954,596.5342708333332,799.4928321194473,307.6327984718241,497.47191384951043,3116.7905555555626,2670.780219823359,578.2564116937914,730.2572575757583,4.779115432873276,650.253979623825,2667.4454433399624,333.9182924130662,298.8225890481068,6.561183155080213,574.3192366901873,3180.776278017249,711.7762142273106,2636.8883491592496,713.4170630630634,579.908212255213,6.795350076103501,321.0026789924976,655.9315878594256,339.3968076923074,162.66139024390245,3231.4067768240416
oneoff_purchases,447.9487298324025,1579.1689927710906,117.52466306549631,240.2062273567472,1634.6063235685826,533.1492313687296,76.55724412296563,94.19250266159683,567.8204984293202,1671.7200763790727,287.71041659464123,79.47932031814896,4.739307105108631,4.241840381179274,57.408049292081785,295.1543400966181,1803.1411565495298,573.7323309859157,256.28883466860935,213.09284813753567,42.282644492911665,1738.8194423480106,1616.0786025515274,556.1071308016882,230.40827272727282,3.4911731493099123,627.6059200626966,1614.8540059642203,223.73722444678592,224.27987103377689,4.5719652406417115,38.078152661962804,1764.5883793103467,218.60366312346676,1597.1716102868502,197.2179369369368,43.65917245735944,4.567313546423136,242.69184780278675,628.9687012779563,226.59805510906983,110.05475609756101,1811.1269098712467
installments_purchases,336.3360402234608,947.4782379518034,52.40227802160701,296.25188019870546,979.2355276298234,30.97242571846079,484.75034719710555,51.51129182509503,30.59113089005236,988.420357142855,197.89685177182352,477.0190229573381,3.376887844979447,1.7193388921977364,451.6661497115904,163.64744444444435,992.9839177316303,13.20729460093897,517.769295338675,93.07373209169052,441.0575572519095,1140.1051257861677,881.8609322865578,12.957703435804703,483.22996780303146,1.287942283563363,11.395391849529776,881.0411555666028,107.16457060063222,73.20398925281476,1.9892179144385023,518.2318970493923,1170.9119827586248,475.8116148814398,870.7055959446117,496.57867792792865,518.5128916614042,2.228036529680365,76.90896838156489,15.494512779552723,109.51212112514348,52.60663414634146,1173.5608315450684
cash_advance,817.1611457379878,575.5123491259031,1967.4836105246352,122.58671451756013,589.8816920332887,257.51157236142245,153.06686532730563,2082.0109552216622,262.1500652068064,399.66986938189507,3272.4697320984956,134.48627937816346,1226.96177669172,1220.6689473508031,41.97092477766124,3498.468401146824,403.04079181709244,271.08052420833354,434.52837466059685,3407.5750101155354,40.5552340049073,1491.1318216415089,111.16991266045146,265.057989464738,441.4052053265151,1144.6328884077789,383.47702641927924,114.39755564015907,3555.605160377205,224.24645078710336,1218.326830038101,44.06206293778064,1428.6813385021546,459.2115397636958,117.55723577843722,460.6986083027028,38.26339282438408,1115.9508494231352,189.5668772293675,348.304012092652,3542.066547893197,1970.183482097559,1396.0908933776818
purchases_frequency,0.4903505483798885,0.9163792343373485,0.13464068534773788,0.5703886712107225,0.9265579667110508,0.3219949069654182,0.7336422958408678,0.11687104562737655,0.34247774240837836,0.9298902510608194,0.34020583491789097,0.7267101554591466,0.009360930123311802,0.004570570577724836,0.6997883418982692,0.29928394202898545,0.9333118849840246,0.31935592370891985,0.7458260728332115,0.2308430936007645,0.6968190087241002,0.9229972809224314,0.9221926467124619,0.3120622549728737,0.7310458787878784,0.003954062735257214,0.3662509286833844,0.9244177982107344,0.24961417281348822,0.18819105834186284,0.005408191176470588,0.8005180949326486,0.926244137931034,0.7233971872444803,0.9226672383778425,0.7284478306306306,0.8009539892608966,0.005102391933028918,0.19758923794212216,0.37181721964856124,0.2448216521239958,0.18942155853658538,0.9267395150214589
oneoff_purchases_frequency,0.20245768357542138,0.6078257246987953,0.06549298480756266,0.1407151903881704,0.629842756990679,0.2893115509011208,0.048924066546112026,0.051992695437262294,0.3101895795811523,0.6437944900990098,0.1416611745894557,0.05060756507592184,0.00312757369348209,0.0019600405002977964,0.03820599318301004,0.14497786570048316,0.6836156333865815,0.30699956396713485,0.15060481427531,0.11338952148997118,0.027883935114503884,0.5752618951781968,0.6699717016683013,0.29956252501506775,0.140110847727273,0.00195524843161857,0.3568049796238234,0.6718368091451283,0.11845095785036867,0.0928029406345959,0.002478324866310161,0.028828307248236082,0.581158411637931,0.13038302861815218,0.6676891612265075,0.1174728342342341,0.03226307075173728,0.002098610350076104,0.09842356591639882,0.35912842811501494,0.11492388518943732,0.08098852926829266,0.5965143454935621
